IDREVIEW,HOTELID,REVIEW
13,1580,"Jul 29 2008 	GREAT stay at Lord Berri	I truly liked the Lord Berri. How important is the greeting at the front desk? VERY. Veronique greeted me in a very welcoming manner and checked us quickly. She offered the parking garage, and although the price was $7 cheaper next door on the street, I am glad that I took the offer for the parking garage. The garage was clean and a very easy walk to the elevator. Our car seemed much safer in the garage than on the street.We stayed in suite 505. It was really very large: one bedroom, two bathrooms, two closets and a living room. Everything was superior in cleanliness. The furniture was a dark wood. I especially liked the &quot;entertainment center&quot; piece in the living room, and the books on the shelves. One book was the life story of Anne Sexton. Read that story in college.Room included: a safe, a refrigerator, a coffee machine, two air conditioners.Breakfast at the hotel was good. The waiter was very friendly. The restaurant features Italian food, offers a dinner special on mussels ($16.95 ?), and has two wide screens TVs.WIFI access was immediate for $10 for duration of stay. WIFI reception in the room was strong and fast.The maid left lots of supplies and clean towels.University of Quebec at Montreal is directly across the street.Metro stop is a short walk, as is Chinatown and Vieux Montreal.There are a lot of YOUNG beggers / homeless / drug addict kids on St. Catherine Street. Say &quot;desole&quot;, or sorry, and they will live you alone. This hotel appears to be very family friendly. The kids we see in the elevator appear to be happy and enthused with their stay.Nice hotel, great reception at the front desk."
14,1580,"Jul 28 2008 	All is well that ends well!	I'm not usually one to take the time and write reviews, but this time I had to make an exception. My girlfriend and I decided to plan a weekend trip to Montreal for a bit of shopping, cultural experience, and a to enjoy the night life. Booking under a week to the date, and on a busy summer weekend, as well as not having any experience in Montreal travel, I was quite worried looking for a reasonable place to stay. Browsing through many other hotels, b&amp;b's, and apartments, I was quite nervous of book a place from many mixed reviews. Price was an issue, but we didnt want to go too cheap at the expense of quality. I settled on the Lord Berri because of a majority of good reviews, appealing website and photos, as well as there own underground parking garage. I highly recommend this hotel with the following key pieces of advice.- Get there early on the day of your reservation, even if your room is not ready, so as to secure a spot in their limited underground parking. It's price is similar to independent street level parking lots, but secure and gives you a piece of mind if you're like us and unfamiliar to the safety of areas within the city. - Book online through the hotel website as they often have deals and I managed to score a really nice room with a queen size bed for only $99.Some addititonal good points of this hotel is: - It's two steps off of St. Catherine street where most of the action is. - Ten/ fifteen minutes walk to major shopping/happening spots.- Right beside a Metro stop which by subway can take you anywhere.- A little quieter than staying a few blocks away on the busiest part of town. - I had read mixed reviews about the staff and rooms, however staff was very helpful and provided us with constant directions as well as restaurant ideas. Rooms were also excellent in condition and clean!- Grocery store, drugstore, liquor store, and coffee/book shops, all extremely close for last minute convenience or necessity. Other points:If you're looking for a hotel with other major frills, this might not be the best for you. The lobby is basic and hotel restaurant/bar/cafe was alway empty and quiet. But if you're only there for a short period of time and dont require any special facilities in your hotel, this place is perfect. My recommendation is for the discounted website specials, this hotel has amazing bang for it's buck. If I was going to pay the normal rate at close to 170, I might still choose this hotel, although I'd research around a bit more to see if I could get more for that price. Being as I was looking in the 100 dollars/per range, after all my research and nightmares, this was the best possible outcome I could have hoped for."
15,1580,"Apr 23 2008 	New Years	Stayed at the hotel for new years eve with college friends, and enjoyed the stay but it was nothing special. The price was good because we traveled with a group that got a good rate, and bus transportation from Boston to Montreal included. The hotel is pretty old, slow elevator, basic bath, average rooms. A nice restuarant located in the main lobby which is great because it has a bar with decent priced drinks for a hotel bar. The serivice was good considering the hotel was full of college students there to party for new years eve. almost the entire hotel was full of students who were there to party, so dont go here on new years for a family trip, i would not recommend it. The hotels location is GREAT and is right in the heart of the city and all the best night clubs and bars. As well as very close to all the historical parts of the city of montreal. I have stayed here the past two new years and am planning on going again for NEW YEARS 2009 at the end of this year, and will stay at the lord berri again. and will enjoy my trip there again."
16,1580,"Jan 15 2008 	Decent but way overpriced for what you get.	I have stayed at the Lord Berri twice, and I can honestly say that I have no substantive complaints. The hotel is very basic, safe, relatively clean and quiet.However, for what you get, IMO, the price is a bit steep. You can find small hotels and B and Bs not too far away that are far better value. A couple of years ago, this place was a good deal but for the amount they are charging now, I would take my business elsewhere."
17,1580,"Aug 1 2007 	Lord Berri was a Great Spot!	My friend and I were just at the Lord Berri for a two night stay. It's in a very convenient location (right at the start of the Gay Village, just above ChinaTown, and right next to the Latin Quarter) , and is clean and comfortable. They upgraded us (at no extra charge) to a one-bedroom suite as our requested room type wasn't available upon arrival. It was lovely, with a huge king bed, a sofa bed in the living room, two washrooms, fridge, ironing board/iron. The sofa bed was very uncomfortable (we needed two separate beds so we needed to use the sofa bed) but other than that, it was a perfect spot. The staff was friendly and polite, and with the size of the place (only 10 stories) you don't feel lost in the crowd as you would at a bigger hotel."
18,1580,"Jul 31 2007	Good thing I'm a smoker	Being a smoker, I reserved a Smoking room, but somewhere between me, Travelocity and the Lord Berri, I got a non-Smoking room. Lucky I only had to stay there one night, because the room smelled awful! It smelled like stale sweat only muskier! Next day I was assigned a Smoking room and it had no unpleasant odors at all. In fact I thoroughly enjoyed my remaining four nights in this hotel. Room was comfortable, and quiet even though it was right above a busy street. Staff was pleasant, friendly and very helpful. Had a problem with the tv; they couldn't completely fix the problem but showed me how to manually bypass it to get the tv to work."
19,1580,"May 8 2007 	Great place to stay and a bargin for the location	I have to say that I have stayed at the hotel 3 times now during the montreal jazz festival. The hotel staff were nice and the rooms were very large. The hotel is a bit old, but for the price it was great. In addition everything was very clean and our window had a great view of the city. I will stay at this hotel again this year in July. The other hotels in the area are either not as close or to expensive. In particular during the jazz festival."
20,1580,"Apr 9 2007	Not as bad as other reviews would suggest	We stayed at the hotel while joining some friends who were on a tour from France, so we did not book the hotel ourselves but were part of the tour. When I got the name of the hotel and checked the reviews on Tripadvisor.com, they were so uniformly bad that I almost canceled the trip. All I can is that I'm glad i didn't, as we had a totally different experience. While this is by no means the Ritz , Sheraton, or Hilton, it was perfectly adequate for a night's stay. We came in late independent of our group and the reception was very helpful in finding our reservation and assigned room. The room itself was fine - firm beds and clean, although I would have appreciated an extra blanket - because it was so late I didn't bother calling the desk."
21,1580,"Feb 13 2007 	If I could sue this hotel I would 	I was employed with a group of people in a temp job for a week, and the employer put us up in this hotel. I didn't know much about the hotel, other than it was in a great location downtown, and had a restaurant attached to it. When I walked into the hotel, I felt like I was in some seedy motel that I would see in these old movies. The decor in the lobby appeared to be from a time before I was born. The desk clerk who checked me in, who was actually pretty friendly, indicated that my hotel room was paid for by my employer. She noted that there was 2 of us staying in the room (myself and another employee that I had yet to meet). She indicated that although the room was paid for, I had to leave a credit card or $500 cash to cover incidentals. The other guest would have to do the same when he/she arrived.I was really reluctant to give my credit card info, given that I was in a foreign city staying at some strange motel - who knows what would happen to my personal and credit card info? Seriously - when you walk into this place, you don't get a sense of poshness or security - one doesn't feel safe - very disconcerting actually. But she indicated the nearest bank machine was quite far away. So despite my serious reservations, eventually I gave in, and gave my credit card info, but made it absolutely clear that it was ONLY to be used to cover incidentals and nothing else. I signed the registration form, and off I went to my room.The room was OK. At least the water was hot. Again, the bedcovers and decor was from the 60s or 70s and the carpet looked like it hadn't been washed in decades. The locks on the door looked flimsy - really only a push button lock that can be jiggered with a credit card. I had to put a chair in front of the door. But I've seen worse. Restaurant food just OK - can walk one block east and one block north to the mall, and get early breakfast for a 1/3 of the price though.Check out time - I make sure I get a receipt - showing the room is paid in full, and that I didn't owe anything because no incidentals were charged. I figured, I'm pretty safe.3 months later, I get a massive charge on my credit card for almost $1000. I call the hotel to get an explanation, and they tell me that the clerk who told me that the room was paid for told me the wrong thing, and that they had the right to charge me because they had my credit card &quot;on file&quot;. They also had the right to charge only me, and not the other guest, because the room was under my name, presumably because I checked in first. Because I had signed the &quot;guest registration card&quot; (which didn't even have any credit card info on it), the credit card company refused to reverse the charge.When a hotel takes your credit card, and tells you that they agree to only hold that information for the purposes of paying for incidentals only, and then months later attempts to make some arbitrary charge on it at their own discretion, without any notice to you, knowing that you're not likely going to be there again to fight it, if you even happen to see it on your credit card bill... well, that's pretty SCUMMY. There is nothing that I can do to control what else they do with my credit card or personal information. The lodging themselves were already quite dodgy, and had I known what the lodgings were like, I would have stayed in a hostel instead. But this practice absolutely apalls me. STAY AWAY! STAY AWAY! STAY AWAY!!! For your own sake."
22,1580,"Jan 4 2007 	Well...........................	Well.... I live in montreal and I had to spend one night at this hotel during renovations at my house. First, I want to answer a previous commentary... Even though the bars and others close at 3:00 a.m., it is true that every where else, you can't make noise after 11:00, even if you're at home. It's only a question of respect for other people. There are lots of groups that go there, but also young people studying at the university on the same street, that use this hotel like a residence. Also many people who are waiting for their status concerning immigration. It was not too bad for one night, but I wouldn't have stayed there longer. In our room, we called the reception because we had a question and they answered us awfully, making us feel like .... really disturbing them. The room was really hot even if we were in december ! We even had to use the air-conditioner. It was ok until around 3:00 a.m. This machine started to make an infernal noise and we had to stop it. But the room went hot again immediately, seems like the heating systems was not working well at all. Then at 7:00, the vacuum cleaner began and did not stop for an hour, so we couldn't continue to sleep. Last point but not least... the hotel's restaurant (italian.. Il Cavaliere I think) was horrible, really. It was even really expensive even though it was not good at all."
