IDREVIEW,HOTELID,REVIEW
11,437,Apr 1 2007 	Good Value	Excellent value we stayed for one night which being a Saturday was very expensive on the Strip but cheap here. It is just off the Strip along from Wynns and overlooks the Hilton. Lovely clean room with kitchenette which would have been excellent had we stayed longer.
12,437,"Jan 19 2007 	Retro Vegas? This is the real thing.	So it's not the Wynn, I still loved it and will stay at the Somerset again. The rooms were large and clean. I never expected to find a room with a built-in kitchen with stove and oven, or the incredible in-room details of vintage, yet simple, space-age light fixtures. Perhaps I'm too easily amused by old-Vegas detail, like the bottle opener installed beneath the bathroom doorknob, but I really enjoyed this place. It's a time warp and very well-maintained which is evident from the roadside and the motel's incredible, enormous, and impeccably-maintained neon signage. There is a bit of owner-pride at this establishment. Sure it's rough around the edges, but you can't beat the price or that old-Vegas style."
13,437,"Jan 16 2007 	Close but so far	There is no thermostat, meaning that your room is either too hot or too cold. The motel's cheap idea must be to force you to turn off the heat or AC so as to save electricity. The hallway carpets and stairwell emitted a mild odor; the sink drain was rusting; footsteps above my room thundered through a poorly-constructed ceiling; 6:00 A.M. garbage trucks rousted me in my sleep; and the management lost my reservation (bad news during a convention). While the price and location compare favorably with that of other hotels near the LVCC, your experience there will not. Get this: owner Irwin Kishner is a board member of the Nevada Hotel and Lodging Association, which must have an &quot;anything goes&quot; policy. Las Vegas is a city of a wide choice of hotels, and there is no reason for you to be at the low end of the scale."
14,437,"Nov 20 2006 	Loved This Motel	We couldnt get a room in Vegas for under $350/night so I researched places on-line and because of the positive ratings this motel had, we decided to stay there.Like all the ratings say, this isnt a 5 star hotel, there are no frills, but despite that we loved this place!!!!! The rooms were big, with a small kitchenette and because we smoke we have a balcony. It was like a small one bedroom apartment. The service was great and staff was extremely friendly. Using our AAA card we paid under $50/night and I would have paid $75/night no problem.If you are on a budget or cant find a room I recommend staying here!"
15,437,"Sep 26 2006 	Safe clean choice for low budget	Granted, this place is 40 years old, and seriously shows signs of age and wear, but I get the feeling they sincerely try to keep it up and keep it clean (which I can attest to housekeeping more than diligently doing their job outside my door at 7:10 am on Sunday morning), and cleanliness is what really, really counts for me. I was pleased by the discovery an L-shaped room with of lots of windows that opened, heavy drapes (worn and a little tattered, but clean), a ridiculously large walk-in closet, a sofa bed (worn and lumpy, but also appeared clean, just like the hideous blue carpeting) and a reasonably sized kitchenette, which included a small table and 2 chairs, and an apartment sized stove and fridge, and sink. The bed was kind of lumpy and squeaky, but not uncomfortable  the 3 hours of sleep I got were great and the sheets were clean. The bathroom in my room was as clean as my bathroom at home. I did not check out the pool, but the general pool area looked very well kept. Side note: Some of the rooms have small balconies.If price, cleanliness, and function over form are of more value to you than glitz and being right on the strip, this is a highly recommended choice and is within a very easy, 2 block walk to the strip with ample public transportation in every direction. Traveling as a single female, I felt completely safe at this hotel and the immediate surrounding area, but still - never let your guard down.And, I just loved the old-school Las Vegas broads behind the front desk. I found them to very lovely, genuine people. Don't let their brusque manner fool you, they are really charming and enchanting ladies."
16,437,"Aug 17 2006 	A Penny Pincher's Paradise	This place is the best value around for the money. So the carpets are a little old and the smell of cigarette smoke lingers in the hall ways. It's got large rooms, comfortable, clean beds, clean bathrooms, and a lot of the rooms have kitchens. If they don't have kitchens they at least have a refrigerator. I feel safe when I'm there. You wouldn't want to stay there for you honeymoon, but for every other occation it's great. I mean, let's face it, it's Las Vegas, the entertainment capital of the world. You go to Vegas because it's Vegas, not to sit in an extravagent room. You can sleep comfortably and shower. That's all you need a room for in Vegas. And if you want you can eat in your kitchen and save some more money too, because if your like me, you like saving money, and that's the reason you stay at the Somerset House.I was first told about this hotel by a friend. I've been traveling to Las Vegas twice a year for the past four years and for the first 2 years I traveled there I used to bounce around from hotel to hotel looking for one that was really worth the money and in a convenient location. This is the only hotel I've stayed at more than once and I made my 4th stay there this past week. It was simply wonderful. If you want anymore info about it I'd be happy to answer your emails at: micah52@verizon.net"
17,437,"Jul 4 2006	good and cheap	This is definatly not the most fancy hotel in Vegas, however for the price it can't be beat. We stayed there for two nights, it is convient close to denny's and walgreens. The strip is right there. I enjoyed it and will stay there again."
18,437,"May 29 2006	good value of money	Stayed there for two nights in May. Very good location - just one block from the strip, very near to the Riveria and Convention Centre. Although the pool is small however this give us a very good place to enjoy under the sun. One thing I am not satisfied about, which is the quite dirty carpet in the hotel. On the other hand, the room is spacious, it provide good and clean bathroom, well equipped kicthen. I am not happy about the bed which is well too soft."
19,437,"Dec 23 2005	THE ONLY PLACE WE STAY AT!!!	We have been coming to Las Vegas since 1998. The first year I called a booking agency there in LasVags (as no one would reserve me a room 5 months in advance). They found us a GREAT DEAL at a very well established motel...We didn't finish our stay there it was SO BAD!! The next year I found Somerset online I called and they took my reservations 7 months ahead of our arrival and we have stayed there every year ...except for 3 years ago when we didn't go to LV that year..... The staff are wonderful people who go out of their way to help you any way they can. The rooms are ALWAYS clean and the closet space, hey its another bedroom in those things!! Always lots of towels and HOT WATER and CLEAN BATHROOMS!! The bottom line is this: The Somerset is a older motel that has been well maintained throughout the years. It IS NOT a fancy hotel/motel with room service, mini bars in rooms, big screen T.V.s and all the extra stuff the big name places on the strip have. When we come to Las Vegas and stay at the Somerset, we feel like we are home. Not very many places in LV can do that. Doors are locked around 5PM and the only way you get back in is use your room key OR have the front desk buzz you in.The palce is a safe home away from home place and we wouldn't stay any place else, in fact we told friends and when they go LV they stay at Somerset too.So if you want a clean room, bed, friendly helpful staff, this is the place to stay IF on the other hand you want room service go someplace else but I can guarantee you won't get the safe friendly service from them you get from Somerset.."
20,437,"Dec 8 2005 	Beauty is in the eyes of...........................	I always find it amusing that people stay in cheap places and complain that they aren't as nice as the Paris! Remodeling is expensive and it is paid for by higher prices.The Somerset is convenient......5 minutes to the strip and Walgren's on these aging legs...and 10 minutes to the LV Convention Center. They have cheap rooms especially when booked direct and if you are there at least 7 days, you get an even cheaper rate.I appreciate having a fridge which all rooms have; 80 of the 100+ rooms have kitchenettes.The hallways are depressing, the drapes old, furniture is dated and the kitchen appliances are old and I don't care. I have been in 4 different rooms. All had big closets, clean kitchens, bathrooms and beds. The beds have been the most comfortable that I have been in in LV and the place was the quietest place I have stayed in in my 12 trips. Doors are locked at about 5, and you get buzzed in or use your key. The friendly staff downstairs, maintenance, and housekeeping make the place homey. I sleep 6 hours, shave, shower, and leave. I need a clean bed, bathroom and kitchen and QUIET. The Somersett delivers with that, a great price, and location. If you want great luxury, this is not for you; if you appreciate a good deal, you can live with it.I can afford much better;but I like it there!"
