IDREVIEW,HOTELID,REVIEW
57,1862,"Jan 18 2009 	Disappointing stay	Having stayed at Essex house in Feb 08, we had no complaints and as members of Jumeirah loyalty card Sirius, we decided to book another stay for our NYC trip in December. However, this time we were very disappointed with the level of service during our stay. We arrived for check in at 6pm after a long journey only to be told our room wasn't ready. At 6PM!! No-one at check in wished us a 'welcome back', which we have come to expect from a Jumeirah hotel. We were given vouchers to order a house cocktail while we waited for our room but no apology or indication of how long our wait might be. When we were told, 10 minutes later, (before anyone had come to order our drink) that our room was ready, we went up only to find 3 staff members in the room scrubbing the carpet, and apologising that they were just &quot;getting a stain out&quot;. Delightful. The mini bar had not been restocked and we were charged for the water that was half drunk inside the fridge despite being told it would not be put on our bill.Turn down service was offered the first night of our stay but mysterioiusly not for the other 4 nights we were there. Breakfast at the Southgate restaurant was a farce; up to 20 minutes wait time in a queue right by the lifts, causing lots of irritated people (both in the queue and people trying to get in and out of the lifts) No apology was ever made by the front of house ladies while we waited, they seemed about the least bothered American restaurant staff I have ever met. The management of the restaurant seemed to be disorganised bordering on chaotic, every morning we would stare at half a restaurant full of empty tables that needed clearing while we queued to eat. When they were cleared they were not restocked properly and we constantly had to ask for butter, jam, milk etc. The wait staff, although well meaning, were badly trained and inefficient. One morning once we finally did sit down we waited 10 minutes to be served juice and coffee and I ended up helping myself to juice and serving the 3 tables around me as well. Each morning our simple order of 1 espresso and a decaf coffee plus 2 toasted English muffins proved too much to handle and we didn't get the right order on first time of asking even once. Two shining lights of our stay were the Concierges - Cullen &amp; a lady whose name I can't remember - both were excellent, polite and accommodated our requests with speed and efficiency. Aside from these two front of house staff, the rest appeared to be merely looking for extra handouts for doing nothing or providing what I would consider a basic service in a 4-5 star hotel. I have no problem tipping people who go the extra mile, but the bellman having me lift my own suitcase onto the trolley, giving me a ticket for storage and waiting for a tip? I don't think so. That was the general feeling I got from many of the staff - everyone wanting more money. How terribly un-5 star. Of course I put all this in a feedback form (the check out staff are not interested in the response to 'how was your stay' and merely tell you to respond to an email) but have had no contact from the management...I'm not suprised but I am disappointed. I'm unlikely to be going back to Essex House - there are plenty of other hotels in the same price range in great locations around Manhattan and in my opinion Jumeirah needs to do a serious review of their management to get service back up to scratch."
58,1862,"Dec 19 2008	Decent Location but........	This hotel has supposedly been recently renovated, but other than a flat screen TV and a motion activated lighting system that turned itself on and off randomly, there was little evidence of this. Our carpets were heavily stained. The bathroom has no vent/fan and steams up; there is an ever present mildew odor. The shower was useless and the plumbing has clearly not been touched in decades - in fact we were told at the gym that we should use the showers there as they were the best in the buidling. The door staff did not offer to help us carry our bags in. We waited for 20 minutes after calling to have our bags picked up as we were leaving and no one came. However, the beds were very comfortable."
59,1862,"Dec 11 2008 	very nice	we really enjoyed our short stay. room was beautiful and shower very nice. room was very large for new york standards. bell men very helpful and nice. had drinks and finger food in the little restaurant overlooking central park on main floor. the sausage sandwich was excellent with the best chips I have ever tasted. breakfast was also very nice, but the food and drinks are pretty expensive. (the south gate restaurant was worth the money, the food was really delicious) nice atmosphere, I would stay again. the lady who helped us at the front desk was also very patient and nice."
60,1862,"Dec 2 2008 	Great location and nice hotel	Stayed at the Essex House between 27 Nov - 1 Dec. This was a special treat for my boyfriends 30th. After a very swift and easy transit by cab from JFK we were checked straight in and told we had been upgraded from a Queen to a King room on the 9th floor. The room was impressive, very clean, modern and a decent size. The bed was amazing, very comfy and the bathroom was spotless with premium toiletries. Lots of fluffy white towels and high quality bathrobes and slippers. The room was great, we were impressed. We didn't use any of the hotel facilities but they seemed pricey. The breakfast was being charged at $40 which we personally couldn't justify when there are so many great diners close by (we liked 9th Avenue - good mix of bars and diners). Very impressed with housekeeping. Downturn every evening and towels and toiletries were replaced. Housekeeping would also deliver ice if you needed it and they delivered with a smile. My only experience of the conciergie was a little slow and there was a confusion over a birthday cake not being ordered but they did deliver a champagne bucket to our room as requested with chocolate covered strawberries which was a nice touch and complimentary. Great location and very handy for 5th Avenue, Times Square and Broadway etc and I would stay there again for sure."
61,1862,"Dec 1 2008 	Should be great......but the empolyee came into the room in the moring!!!	Actually, I just lived 6ix blocks from Jumeirah Essex House. . I got the room(Central Park Queen) from hotels.com, so my girl friend and I went to spend a night there on Thanksgiving(11/27) , and if it is good, then I will let my family to stay there when X'mas visiting. At first, I have to say that it is a great hotel from the location and the renovation. The first impression is really great! Everything is new and very clean.  But when I check in, they gave me the third floor room (room 309)..even I tried to change the room to higher floor, but they said no room available. So, ok, we took it...so what is view from my luxury Central Park room? Yeah, the tree top of Central Park, and the temporary construction canopy from pedestrian walk....The view is kind of making me disappoint...but my girlfriend tried calm me down... OK..this was first part. Then, the second part is the next ridiculous morning!! Next morning, around 9:30, when we was sleeping with our underwear, there was a black guy with employee's uniform came into our room..it was really scared us. He just gave us one bell ring then just open the door come in..We event still were on the bed without any consciousness. It is very unprofessional for a four or five stars rating hotel to have this kind of problem. And this time, it was the turn for my girl friend getting crazy, and I tried to calm her down.  When we checked out, of course, we told them what happened in the morning., but they looks like not a big problem..We were really upset...This is really a good hotel from the location and interior of building, but for the service...it is kind of horrible..maybe we are just unlucky!."
62,1862,"Nov 26 2008	The Essex House is Excellent!	I recently stayed here a couple of Saturdays ago in room 1130. I highly suggest anyone to request this room number as this King layout was quite large and when we were looking at another room of the same type this one was much larger than the &quot;equivalent&quot;Our experience from start to finish blew me away. I usually find fault in hotels and this hotel was absolutely perfect. The beds were beyond comfortable and the technology from the large plasmas to the LCD Touchscreen telephones kept me in awe. The rooms were very quiet if you had an interior view which can be quite valuable to anyone wishing to sleep at some point while in New York City. Everything in the room was of the highest quality. I have stayed at the St Regis and The Peninsula but due to the view(central park) and certain technological advancements I must say Jumeirah Essex House tops my list. For example, the robes were the plushest I have ever honestly seen in a bathroom along with the quality slippers with actual heavy duty rubber soles.The concierge was very helpful as well. My only complaint about this hotel was they do not have enough operators for the telephjones. Sometimes I'd wait for five minutes when I pressed &quot;0&quot;."
63,1862,"Nov 21 2008 	Better off staying in a Tent.	If you are impressed by touch screen telephones, HD TV and movement sensitive lighting this hotel could be for you.However, if you expect any sort of service such as housekeeping (takes an hour), room service (too busy to take orders) or the concierge (maybe I needed to make an appointment, because they could only speak to me in one word answers) you are better off staying at a different hotel, hostel or tent. The service at this hotel is so poor that it is nonexistent. Your tired, you get off a plane, get to your luxury hotel ready to relax. Instead you stand in line, with a scrum of people in front of you, for at least 20 minutes to check in. At the Essex house you need patience as you have this delay at check-in, check out and every time your key stops working.For Room service you wait, and wait, and wait and then get put on hold. Perhaps take you own food supply. It is certainly much quicker to walk to a restaurant. I needed directions to get to a meeting. The only way I could this done was to go the un-manned business (then return to my room to get my credit card) and pay U$22. No way could they bring this to my room and in retrospect I probably couldn't have afforded this. The central park position was great but my room looked out over a parking lot.The rooms are a masterpiece of technology. The movement sensitive lights go on and off without explanation. Also beware of the hardwood surround on the divan. If you need the loo at night and cant get the lights to work you can really hurt your shins. Trust me I have the bruises !The breakfast at the hotel maybe good, I dont know. But It was nice of them to bill me for it even though it didnt go near restaurant or manage to get an order through to room service.If you want to know what it feels like to be mugged near cenrtral park, stay at the Essex house !At U$450 / night you can find better (at U$100 you could probably find better)."
64,1862,"Nov 18 2008 	too much ton pay too little to get	i am visitting from london,u.k i have stayed from the 1st of nov till the the 14th of nov ,the room was big but dirty the sheets were not changed daily i had to ask to be changed, bathroom very dirty never clean toilets, the only thing they were doing is fixing the bed twice a day the bathtabe old daffintly i would not recommand it, for the price i paied and the length of stay i should get the best but unfortunatly i did not get and i am not a person that is fussy ,receptionist were nice and helpfull, breakfast expensive and bad, if you ask for room service they bring food cold.never to stay again"
65,1862,"Nov 13 2008 	Grat Hotel. Food could be better	Excellent accomodations, really good attention at front desk and concierge very useful. On another hand breakfast could be better and cafeteria floor could get cleaned better before you ask customers to sit down. We went with our two children (8 and 9) and stayed in a very nice two bedroom suite. Valets are kind of rough with cars. Watch out fror scratches.."
66,1862,"Nov 11 2008 	Pass on the Essex House	We booked the Essex House through the American Express Platinum &quot;Fine Hotels and Resorts&quot; program. While the room was adequate, the bathroom was not, and nothing rose to the level of a &quot;fine&quot; hotel.The room was small but clean, and the bed was comfortable. The bathroom, however, was a disaster. The cups were dirty. The sink did not drain (was full of water with one face-washing). The bathtub looked old and decrepit, having apparently been reglazed, and had mildew in the corner. When I went to switch the water flow from the bathtub spout to the shower, the lever fell off into the tub. I reinserted it and got the shower to work and noticed that the shower head was rusted. The shower curtain was barely long enough to prevent water from pouring onto the bathroom floor, if you touched it during the shower, the water leaked. All in all, not what I would expect from any hotel, not to mention a supposed &quot;fine hotel and resort.&quot;"
